==8419== NVPROF is profiling process 8419, command: ./trans_opt
==8419== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
kernel exe time: 1.86675
==8419== Profiling application: ./trans_opt
GOOD!trans passed
==8419== Profiling result:
==8419== Metric result:
Invocations                               Metric Name                        Metric Description         Min         Max         Avg
          1                   nc_l2_read_transactions         L2 Non-Coherent Read Transactions           0           0           0
          1                  nc_cache_global_hit_rate              Non-Coherent Global Hit Rate       0.00%       0.00%       0.00%
          1                         nc_gld_throughput  Non-Coherent Global Memory Load Throughp  0.00000B/s  0.00000B/s  0.00000B/s
          1                         nc_gld_efficiency       Non-Coherent Global Load Efficiency       0.00%       0.00%       0.00%
          1                      l2_atomic_throughput           L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                                inst_fp_32                   FP Instructions(Single)           0           0           0
          1                                inst_fp_64                   FP Instructions(Double)           0           0           0
          1                              inst_integer                      Integer Instructions   176947200   176947200   176947200
          1                          inst_bit_convert                  Bit-Convert Instructions           0           0           0
          1                              inst_control                 Control-Flow Instructions    19660800    19660800    19660800
          1                        inst_compute_ld_st                   Load/Store Instructions   117964800   117964800   117964800
          1                                 inst_misc                         Misc Instructions   137625600   137625600   137625600
          1           inst_inter_thread_communication                 Inter-Thread Instructions           0           0           0
          1                    atomic_replay_overhead                    Atomic Replay Overhead    0.000000    0.000000    0.000000
          1                       atomic_transactions                       Atomic Transactions           0           0           0
          1           atomic_transactions_per_request           Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                   l2_l1_read_transactions   L2 Read Transactions (L1 read requests)     2457600     2457600     2457600
          1                  l2_l1_write_transactions  L2 Write Transactions (L1 write requests     4915200     4915200     4915200
          1                  l2_tex_read_transactions           L2 Transactions (Texture Reads)           0           0           0
          1                    l2_l1_write_throughput                 L2 Throughput (L1 Writes)  109.67GB/s  109.67GB/s  109.67GB/s
          1                    l2_atomic_transactions         L2 Transactions (Atomic requests)           0           0           0
          1                          ecc_transactions                          ECC Transactions     1211004     1211004     1211004
          1                            ecc_throughput                            ECC Throughput  27.020GB/s  27.020GB/s  27.020GB/s
          1                           stall_pipe_busy           Issue Stall Reasons (Pipe Busy)       8.77%       8.77%       8.77%
          1          stall_constant_memory_dependency  Issue Stall Reasons (Immediate constant)       0.02%       0.02%       0.02%
          1                        flop_sp_efficiency              FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency              FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
          1                     stall_memory_throttle     Issue Stall Reasons (Memory Throttle)       3.34%       3.34%       3.34%
          1                        stall_not_selected        Issue Stall Reasons (Not Selected)       5.65%       5.65%       5.65%
          1                  eligible_warps_per_cycle           Eligible Warps Per Active Cycle    3.778911    3.778911    3.778911
          1                         atomic_throughput                         Atomic Throughput  0.00000B/s  0.00000B/s  0.00000B/s
